DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2012,79.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,68.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,82.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2012,42.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,46.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,72.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,76.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,77.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,72.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,56.7,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,71.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,CK,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2012,76.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
