DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,75.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,81.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,66.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,74.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,71.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,87.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,86.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,63.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,46.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,92.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,79.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,FJ,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
