DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2012,43.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,72.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,84.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,71.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2012,66.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,93.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,92.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2012,39.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,73.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2012,40.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,56.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,53.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,26.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,65.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,63.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,KI,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
