DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,81.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,87.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,55.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,58.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2012,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,61.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,77.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2021,57.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,26.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2012,69.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,79.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,85.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,64.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,70.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,66.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,79.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,57.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,76.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,36.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,57.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,78.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,82.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2012,31.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,31.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,53.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,MH,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2012,55.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
