DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,68.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,67.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,48.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,59.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,67.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,63.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,50.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,45.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,38.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,74.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,54.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,60.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,57.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NR,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,62.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
