DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g3,_T,SKILL_MIN_NMRCY,_T,2018,86.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,F,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,51.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,F,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,83.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,58.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,M,_T,_T,_T,1_g3,_T,SKILL_MIN_LTRCY,_T,2018,34.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g3,_T,SKILL_MIN_LTRCY,_T,2018,38.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,51.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,85.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,M,_T,_T,_T,1_g3,_T,SKILL_MIN_NMRCY,_T,2018,85.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,F,_T,_T,_T,1_g3,_T,SKILL_MIN_LTRCY,_T,2018,41.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,23.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,52.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2021,66.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,51.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,84.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2021,77.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,F,_T,_T,_T,1_g3,_T,SKILL_MIN_NMRCY,_T,2018,86.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PG,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,45.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
