DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,M,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2015,83.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,M,_T,_T,_T,1_g7,_T,SKILL_MIN_NMRCY,_T,2018,98.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2012,97.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,89.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,F,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,100.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,F,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,98.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2012,100.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,99.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,100.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,84.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,M,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,92.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2015,99.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,M,_T,_T,_T,1_g5,_T,SKILL_MIN_NMRCY,_T,2018,100.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2015,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,F,_T,_T,_T,1_g5,_T,SKILL_MIN_LTRCY,_T,2018,99.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2012,98.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2015,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,PW,_T,_T,_T,_T,1_g7,_T,SKILL_MIN_LTRCY,_T,2018,98.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
