DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,61.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,66.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,93.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2012,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,54.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,71.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,73.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2012,67.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,66.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,70.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,70.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,98.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,97.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,97.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,55.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,60.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,93.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,F,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2012,92.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,97.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,97.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2012,82.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,93.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,96.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2021,94.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,46.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,SB,M,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,49.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,
