STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,76,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,82.3,,PERCENT,percent,N,National,C,Country Data,Nauru Ministry of Education,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,84.3,,PERCENT,percent,N,National,C,Country Data,Nauru Ministry of Education,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,100,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",NR,Nauru,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,80.47,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute for Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,76.4,,PERCENT,percent,N,National,C,Country Data,"FSM, fedEMIS online.",,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,67.3,,PERCENT,percent,G,Global,C,Country Data,UNESCO Institute of Statistics,,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,73.25,,PERCENT,percent,N,National,C,Country Data,"Education Digest 2021, Department of Education, Federated States of Micronesia",,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,58.73,,PERCENT,percent,N,National,C,Country Data,"Education Digest 2021, Department of Education, Federated States of Micronesia",,,,,
DATAFLOW,SPC:DF_BP50(1.0),Blue Pacific 2050 (all),I,A,Annual,SE_PRE_PARTN,"Participation rate in organised learning (one year before the
            official primary entry age)",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,60.34,,PERCENT,percent,N,National,C,Country Data,"Education Digest 2022, Department of Education, Federated States of Micronesia",,,,,
