(DF_BP50_2) Blue Pacific 2050: People-Centered Development (Thematic Area 2),,,,,,,,,,,,,,,,
(FREQ) Frequency: (A) Annual,,,,,,,,,,,,,,,,
"(INDICATOR) Indicator: (SE_PRE_PARTN) Participation rate in organised learning (one year before the
            official primary entry age)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(TIME_PERIOD) Time,(TIME_PERIOD) Time,(2010) 2010,(2011) 2011,(2012) 2012,(2013) 2013,(2014) 2014,(2015) 2015,(2016) 2016,(2017) 2017,(2018) 2018,(2019) 2019,(2020) 2020,(2021) 2021,(2022) 2022,(2023) 2023,
(GEO_PICT) Pacific Island Countries and territories,,,,,,,,,,,,,,,,
(SEX) Sex: (M) Male,,,,,,,,,,,,,,,,
(MEL) Melanesia,,,,,,,,,,,,,,,,
·  (FJ) Fiji,,,,,,,,,,,*   100,*   86.03,*   87.11,*   81.43,,
·  (PG) Papua New Guinea,,,,,,,,*   71.8,,*   66.07,,,,,,
·  (SB) Solomon Islands,,,,,*   58.5,*   60.6,*   63.3,,,*   57.4,*   64.34,,,,,
·  (VU) Vanuatu,,,,,,,,,,,*   94.62,*   96.18,*   86.06,*   80.37,,
(MIC) Micronesia,,,,,,,,,,,,,,,,
·  (KI) Kiribati,,,,,,,,,,*   95.2,,*   95.57,,,,
·  (MH) Marshall Islands,,,,,,,*   38.5,*   64.7,,,*   68.5,*   62.09,*   81.03,*   86.81,,
·  (FM) Micronesia (Federated States of),,,,,,,*   79.73,*   70.5,,,*   72.25,*   56.8,*   58.63,*   56.4,,
·  (NR) Nauru,,,,*   100,,*   61.6,,*   67.3,,,*   89.2,*   70.95,,,,
·  (PW) Palau,,,,,,*   100,,,,,,*   79.99,,,,
(POL) Polynesia,,,,,,,,,,,,,,,,
·  (CK) Cook Islands,,,,,*   95,*   88.4,*   89.5,*   95.8,,,*   96.9,*   85.89,*   80.4,*   85.5,,
·  (NU) Niue,,,,,,,*   29.3,,,,*   100,*   100,,,,
·  (WS) Samoa,,*   22.8,*   27.1,*   23.8,,*   30.3,*   30.1,*   27.5,*   31.4,*   34.3,*   52,,*   29.86,*   29.1,,
·  (TO) Tonga,,,,,,,,,,,,*   100,,*   83.11,,
·  (TV) Tuvalu,,,,,,,*   96.7,*   90.3,,*   85.4,*   74,,,,,
(SEX) Sex: (F) Female,,,,,,,,,,,,,,,,
(MEL) Melanesia,,,,,,,,,,,,,,,,
·  (FJ) Fiji,,,,,,,,,,,*   98.8,*   81,*   85.15,*   92.37,,
·  (PG) Papua New Guinea,,,,,,,,*   71.1,,*   66.47,,,,,,
·  (SB) Solomon Islands,,,,,*   60.6,*   63.8,*   63.8,,,*   60.1,*   67.02,,,,,
·  (VU) Vanuatu,,,,,,,,,,,*   100,*   100,*   90.72,*   82.29,,
(MIC) Micronesia,,,,,,,,,,,,,,,,
·  (KI) Kiribati,,,,,,,,,,*   97.3,,*   100,,,,
·  (MH) Marshall Islands,,,,,,,*   40.8,*   62.2,,,*   69.2,*   58.8,*   86.89,*   95,,
·  (FM) Micronesia (Federated States of),,,,,,,*   72.85,*   63.9,,,*   74.33,*   60.78,*   62.16,*   60.6,,
·  (NR) Nauru,,,,*   76,,*   82.3,,*   84.3,,,*   100,*   80.47,,,,
·  (PW) Palau,,,,,,*   80.4,,,,,,*   100,,,,
(POL) Polynesia,,,,,,,,,,,,,,,,
·  (CK) Cook Islands,,,,,*   100,*   100,*   100,*   100,,,*   100,*   100,*   75.7,*   74.6,,
·  (NU) Niue,,,,,,,*   100,,,,*   61.9,*   61.9,,,,
·  (WS) Samoa,,*   28.5,*   29.7,*   25.4,,*   25.6,*   31,*   29.8,*   35.1,*   41.9,*   58,,*   32.69,*   33.79,,
·  (TO) Tonga,,,,,,,,,,,,*   88.91,,*   81.99,,
·  (TV) Tuvalu,,,,,,,*   100,*   92.1,,*   90.8,*   80,,,,,
(SEX) Sex: (_T) Total,,,,,,,,,,,,,,,,
(MEL) Melanesia,,,,,,,,,,,,,,,,
·  (FJ) Fiji,,,,,,,*   98,,,,*   99.4,*   97.34,*   86.15,*   86.77,,
·  (PG) Papua New Guinea,,,,,,,,*   71.4,,*   66.26,,,,,,
·  (SB) Solomon Islands,,,,,*   59.5,*   62.2,*   63.6,*   49.44,,*   58.7,*   65.64,,,,,
·  (VU) Vanuatu,,,,,,,*   42,,,*   91.55,*   97.21,*   98.03,*   88.31,*   81.3,"A,*   87.4",
(MIC) Micronesia,,,,,,,,,,,,,,,,
·  (KI) Kiribati,,,,,,*   70,,,,*   96.2,,*   97.67,,,,
·  (MH) Marshall Islands,,,,,,,*   39.6,*   63.5,,,*   68.8,*   60.48,*   83.86,*   90.77,,
·  (FM) Micronesia (Federated States of),,,,,,,*   76.4,*   67.3,,,*   73.25,*   58.73,*   60.34,*   58.43,,
·  (NR) Nauru,,,,*   88.1,,*   71.2,,*   74.8,,,*   94.5,*   75.57,,,"A,*   78",
·  (PW) Palau,,,,,,*   90.4,,,,,,*   89.32,,,,
(POL) Polynesia,,,,,,,,,,,,,,,,
·  (CK) Cook Islands,,,,,*   97.4,*   94.1,*   94.7,*   99.1,,,*   98.4,*   92.73,*   78.1,*   80.2,,
·  (PF) French Polynesia,,,,,,,,,,,,,*   97.5,,*   99.8,
·  (NU) Niue,,,,,,,*   63.4,,*   97.4,,*   81,*   80.25,,*   97.4,,
·  (WS) Samoa,,*   25.6,*   28.3,*   24.5,,*   27.8,*   30.5,*   31.7,*   33.2,*   38,*   35.1,,*   31.22,*   31.35,,
·  (TO) Tonga,,,,,,*   99,,,,,*   96.7,*   94.59,*   81.6,*   82.57,,
·  (TV) Tuvalu,,,,,,,*   98.3,*   87,,*   88,*   93.4,,,,,
,,,,,,,,,,,,,,,,
© Terms & conditions ,,,,,,,,,,,,,,,,(DF_BP50_2) Blue Pacific 2050: People-Centered Development (Thematic Area 2)
